pclass,survived,sex,age,if child,fare,is port,boat,sibsp,parch,is port and man
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,2,0,1,2,0,0
3,,0,0,0,2,0,1,2,0,0
3,,1,0,0,2,0,1,2,0,0
3,,0,0,0,3,0,1,0,0,0
3,,1,0,0,2,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,0,15,1,3,0,0,0,0,0
3,,0,35,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,24,0,2,0,0,1,0,0
3,,0,19,0,2,0,0,1,0,0
3,,0,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,1,55.5,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,21,0,3,0,1,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,24,0,3,0,0,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,28,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,1,25,0,3,1,0,0,0,1
3,,1,6,1,2,1,1,0,1,1
3,,0,27,0,2,1,1,0,1,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,2,0,1,1,0,0
3,,1,0,0,2,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,34,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,1,0,0,0
3,,1,0,0,2,0,1,1,1,0
3,,1,0,0,2,0,1,1,1,0
3,,0,0,0,2,0,1,0,2,0
3,,0,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,0,24,0,3,0,1,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,2,0,1,1,0,0
3,,0,0,0,2,0,1,1,0,0
3,,0,0,0,2,0,1,0,0,0
3,,1,18,0,3,0,0,0,0,0
3,,1,22,0,3,0,0,0,0,0
3,,0,15,1,3,0,1,0,0,0
3,,0,1,1,2,0,1,0,2,0
3,,1,20,0,2,0,1,1,1,0
3,,0,19,0,2,0,1,1,1,0
3,,1,33,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,12,1,2,0,1,1,0,0
3,,0,14,1,2,0,1,1,0,0
3,,0,29,0,3,0,0,0,0,0
3,,1,28,0,3,0,0,0,0,0
3,,0,18,0,3,0,1,0,0,0
3,,0,26,0,3,0,1,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,41,0,3,0,0,0,0,0
3,,1,39,0,3,0,1,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,28.5,0,3,0,0,0,0,0
3,,0,22,0,3,0,1,0,0,0
3,,1,61,0,3,0,0,0,0,0
3,,1,0,0,2,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,2,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,23,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,0,22,0,3,0,1,0,0,0
3,,1,0,0,3,0,1,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,1,9,1,3.1708,0,1,0,1,0
3,,1,28,0,2,0,0,0,0,0
3,,1,42,0,3,0,0,0,1,0
3,,1,0,0,3,0,0,0,0,0
3,,0,31,0,3,0,0,0,0,0
3,,1,28,0,3,0,0,0,0,0
3,,1,32,0,3,0,0.5,0,0,0
3,,1,20,0,3,0,0,0,0,0
3,,0,23,0,3,0,0,0,0,0
3,,0,20,0,3,0,0,0,0,0
3,,1,20,0,3,0,0,0,0,0
3,,1,16,0,3,0,0,0,0,0
3,,0,31,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,1,2,1,2,0,0,3,1,0
3,,1,6,1,2,0,0,3,1,0
3,,0,3,1,2,0,0,3,1,0
3,,0,8,1,2,0,0,3,1,0
3,,0,29,0,2,0,0,0,4,0
3,,1,1,1,1,0,0,4,1,0
3,,1,7,1,1,0,0,4,1,0
3,,1,2,1,1,0,0,4,1,0
3,,1,16,0,1,0,0,4,1,0
3,,1,14,1,1,0,0,4,1,0
3,,0,41,0,1,0,0,0,5,0
3,,1,21,0,3,0,0,0,0,0
3,,1,19,0,2,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,32,0,3,0,0,0,0,0
3,,1,0.75,1,2,0,0,1,1,0
3,,0,3,1,2,0,0,1,1,0
3,,0,26,0,2,0,0,0,2,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,25,0,3,0,0,0,0,0
3,,1,22,0,3,0,0,0,0,0
3,,1,25,0,3,0,1,1,0,0
3,,1,0,0,2,0,1,1,1,0
3,,0,0,0,2,1,1,1,1,0
3,,0,0,0,2,0,1,0,2,0
3,,0,0,0,3,0,0,0,0,0
3,,1,24,0,3,0,0,0,0,0
3,,0,28,0,3,0,0,0,0,0
3,,1,19,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,25,0,3,0,0,1,0,0
3,,0,18,0,3,0,0,0,0,0
3,,1,32,0,3,0,1,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,17,0,3,0,0,0,0,0
3,,1,24,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,38,0,3,0,0,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,10,1,1,0,0,4,1,0
3,,1,4,1,1,0,0,4,1,0
3,,1,7,1,1,0,0,4,1,0
3,,1,2,1,1,0,0,4,1,0
3,,1,8,1,1,0,0,4,1,0
3,,0,39,0,1,0,0,0,5,0
3,,0,22,0,1,0,0,0,0,0
3,,1,35,0,3,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,1,0,0,2,0,0,0,0,0
3,,0,0,0,2,0,0,0,0,0
3,,1,50,0,2,0,0,1,0,0
3,,0,47,0,2,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,2,1,2,0,0,1,1,0
3,,1,18,0,2,0,0,1,1,0
3,,0,41,0,2,0,0,0,2,0
3,,0,0,0,3,0,1,0,0,0
3,,1,50,0,3,0,0,0,0,0
3,,1,16,0,3,0,0,0,0,0
3,,1,0,0,3,0,1,0,0,0
3,,1,0,0,2,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,25,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,38.5,0,3,0,0,0,0,0
3,,1,0,0,1,0,0,8,2,0
3,,1,14.5,1,1,0,0,8,2,0
3,,0,0,0,1,0,0,8,2,0
3,,0,0,0,1,0,0,8,2,0
3,,0,0,0,1,0,0,8,2,0
3,,0,0,0,1,0,0,8,2,0
3,,1,0,0,1,0,0,8,2,0
3,,1,0,0,1,0,0,8,2,0
3,,1,0,0,1,0,0,8,2,0
3,,1,0,0,1,0,0,1,9,0
3,,0,0,0,1,0,0,1,9,0
3,,1,24,0,3,0,0,0,0,0
3,,0,21,0,3,0,1,0,0,0
3,,1,39,0,3,0,0,0,0,0
3,,1,0,0,2,0,0,2,0,0
3,,1,0,0,2,0,0,2,0,0
3,,1,0,0,2,0,0,2,0,0
3,,0,1,1,2,0,1,1,1,0
3,,0,24,0,2,0,1,0,2,0
3,,0,4,1,2,0,1,1,1,0
3,,1,25,0,3,0,1,0,0,0
3,,1,20,0,3,0,0,0,0,0
3,,1,24.5,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,29,0,3,0,1,0,0,0
3,,1,0,0,2,0,0,0,0,0
3,,0,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,22,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,40,0,3,0,0,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,0,18,0,3,0,1,0,0,0
3,,1,4,1,1,0,0,3,2,0
3,,1,10,1,1,0,0,3,2,0
3,,0,9,1,1,0,0,3,2,0
3,,0,2,1,1,0,0,3,2,0
3,,1,40,0,1,0,0,1,4,0
3,,0,45,0,1,0,0,1,4,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,0,0,3,0,1,0,0,0
3,,1,19,0,3,1,0,0,0,1
3,,1,30,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,32,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,33,0,3,0,0,0,0,0
3,,0,23,0,3,0,1,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,60.5,0,0,0,0,0,0,0
3,,1,19,0,3,0,0,0,0,0
3,,0,22,0,3,0,0,0,0,0
3,,1,31,0,3,0,1,0,0,0
3,,1,27,0,3,0,0,0,0,0
3,,0,2,1,2,0,0,0,1,0
3,,0,29,0,2,0,0,1,1,0
3,,1,16,0,3,0,1,0,0,0
3,,1,44,0,3,0,1,0,0,0
3,,1,25,0,3,0,0,0,0,0
3,,1,74,0,3,0,0,0,0,0
3,,1,14,1,3,0,1,0,0,0
3,,1,24,0,3,0,0,0,0,0
3,,1,25,0,3,0,1,0,0,0
3,,1,34,0,3,0,0,0,0,0
3,,1,0.4167,1,3,0,1,0,1,0
3,,1,0,0,3,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,0,16,0,3,0,1,1,1,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,2,0,0,1,0,0
3,,0,0,0,2,0,1,1,0,0
3,,1,32,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,30.5,0,3,0,0,0,0,0
3,,1,44,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,25,0,0,0,1,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,7,1,2,0,1,1,1,0
3,,0,9,1,2,0,1,1,1,0
3,,0,29,0,2,0,1,0,2,0
3,,1,36,0,3,0,0,0,0,0
3,,0,18,0,3,0,1,0,0,0
3,,0,63,0,3,0,1,0,0,0
3,,1,0,0,2,0,0,1,1,0
3,,1,11.5,1,2,0,0,1,1,0
3,,1,40.5,0,2,0,0,0,2,0
3,,0,10,1,2,0,0,0,2,0
3,,1,36,0,2,0,0,1,1,0
3,,0,30,0,2,0,0,1,1,0
3,,1,0,0,3,0,0,0,0,0
3,,1,33,0,3,0,0,0,0,0
3,,1,28,0,3,0,0,0,0,0
3,,1,28,0,3,0,0,0,0,0
3,,1,47,0,3,0,0,0,0,0
3,,0,18,0,2,0,0,2,0,0
3,,1,31,0,2,0,0,3,0,0
3,,1,16,0,2,0,0,2,0,0
3,,0,31,0,2,0,0,1,0,0
3,,1,22,0,3,0,1,0,0,0
3,,1,20,0,3,0,0,0,0,0
3,,0,14,1,3,0,0,0,0,0
3,,1,22,0,3,0,0,0,0,0
3,,1,22,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,32.5,0,3,0,0,0,0,0
3,,0,38,0,3,0,1,0,0,0
3,,1,51,0,3,0,0,0,0,0
3,,1,18,0,3,0,0,1,0,0
3,,1,21,0,3,0,0,1,0,0
3,,0,47,0,3,0,0,1,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,28.5,0,2,0,0,0,0,0
3,,1,21,0,3,0,0,0,0,0
3,,1,27,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,36,0,3,0,0,0,0,0
3,,1,27,0,2,0,1,1,0,0
3,,0,15,1,2,0,0,1,0,0
3,,1,45.5,0,3,0,0,0,0,0
3,,1,0,0,3,0,0,0,0,0
3,,1,0,0,2,0,0,0,0,0
3,,0,14.5,1,2,0,0,1,0,0
3,,0,0,0,2,0,0,1,0,0
3,,1,26.5,0,3,0,0,0,0,0
3,,1,27,0,3,0,0,0,0,0
3,,1,29,0,3,0,0,0,0,0
